lead_source,industry,employment_status,location,annual_income,number_of_courses_viewed,interaction_count,lead_score,converted
events,technology,student,europe,48091,1,1,0.22,0
social_media,finance,self_employed,africa,57925,2,4,0.45,1
organic_search,technology,employed,asia,86016,2,5,0.6,1
social_media,,employed,north_america,80442,3,7,0.78,1
referral,education,employed,south_america,40022,3,7,0.71,1
paid_ads,education,employed,north_america,46265,1,4,0.28,0
social_media,technology,unemployed,,61509,1,0,0.22,0
paid_ads,technology,student,north_america,,0,0,0.19,0
paid_ads,retail,employed,north_america,44277,4,6,0.53,1
social_media,,self_employed,africa,60062,1,1,0.27,0
paid_ads,healthcare,employed,north_america,74628,1,2,0.35,0
paid_ads,technology,employed,africa,90725,2,4,0.46,0
social_media,retail,student,,12000,0,2,0.22,0
paid_ads,finance,employed,asia,55527,2,6,0.56,1
paid_ads,education,employed,asia,32214,1,2,0.26,0
paid_ads,technology,employed,asia,73143,1,2,0.35,0
organic_search,technology,employed,europe,78217,1,2,0.26,0
social_media,retail,employed,south_america,41978,3,6,0.59,1
referral,healthcare,employed,africa,48944,2,7,0.65,0
organic_search,healthcare,unemployed,europe,,1,3,0.42,0
organic_search,manufacturing,employed,asia,62477,4,11,0.99,1
paid_ads,education,student,asia,12000,2,4,0.46,0
paid_ads,healthcare,employed,europe,70024,5,8,0.69,1
,finance,student,north_america,,3,9,0.86,1
paid_ads,education,student,north_america,12000,1,0,0.07,0
referral,manufacturing,employed,north_america,70976,3,5,0.68,1
referral,education,employed,africa,41039,4,9,0.89,1
organic_search,healthcare,student,europe,,2,1,0.24,0
referral,retail,unemployed,,12000,2,3,0.47,1
paid_ads,technology,employed,south_america,76438,2,3,0.39,0
paid_ads,healthcare,student,europe,26115,3,3,0.36,1
social_media,technology,unemployed,south_america,50495,2,5,0.49,1
organic_search,technology,employed,south_america,92709,5,6,0.75,1
social_media,retail,student,asia,,2,6,0.4,0
social_media,technology,employed,europe,74574,3,3,0.49,1
events,finance,unemployed,north_america,,0,3,0.35,0
paid_ads,retail,student,north_america,13043,3,5,0.5,1
events,healthcare,employed,,65283,2,4,0.49,0
events,healthcare,employed,europe,77219,0,0,0.05,0
referral,technology,employed,europe,85798,2,3,0.51,0
referral,technology,employed,south_america,75855,2,8,0.92,1
paid_ads,manufacturing,student,europe,18089,0,1,0.14,0
organic_search,education,unemployed,asia,,1,4,0.4,0
events,manufacturing,student,north_america,15707,1,2,0.24,0
,,self_employed,south_america,42143,3,6,0.57,1
paid_ads,education,employed,asia,43375,2,3,0.38,0
referral,technology,unemployed,europe,,0,0,0.06,0
,retail,employed,south_america,40803,1,2,0.33,1
paid_ads,,unemployed,europe,47549,2,2,0.28,0
organic_search,technology,,south_america,67260,4,10,0.97,1
organic_search,technology,employed,europe,79759,2,6,0.71,1
organic_search,education,employed,north_america,35096,2,7,0.7,1
referral,education,employed,north_america,52061,2,5,0.63,1
referral,education,student,north_america,12000,2,5,0.43,1
social_media,manufacturing,employed,africa,39562,4,7,0.67,1
paid_ads,,student,,15710,3,4,0.5,0
paid_ads,technology,employed,north_america,84221,2,6,0.58,1
social_media,manufacturing,self_employed,africa,41040,2,7,0.67,1
paid_ads,technology,student,asia,57344,1,2,0.27,0
organic_search,retail,unemployed,europe,,1,4,0.43,1
paid_ads,technology,employed,north_america,99591,0,1,0.21,0
referral,technology,employed,,70641,3,10,0.99,1
paid_ads,retail,employed,north_america,56596,0,0,0.01,0
organic_search,finance,employed,asia,73567,2,4,0.48,1
events,finance,employed,north_america,75120,0,1,0.21,1
referral,education,employed,europe,41472,2,5,0.57,1
organic_search,finance,employed,south_america,75130,3,10,0.93,1
paid_ads,finance,student,north_america,,1,3,0.36,0
paid_ads,manufacturing,self_employed,south_america,48931,3,5,0.57,0
social_media,manufacturing,self_employed,europe,48503,1,0,0.19,1
social_media,technology,self_employed,asia,60315,0,3,0.36,0
social_media,finance,employed,europe,75158,2,3,0.41,1
referral,retail,employed,north_america,49235,2,6,0.63,1
referral,retail,student,,12000,3,8,0.57,1
events,technology,employed,north_america,80696,2,4,0.53,1
organic_search,technology,student,,50961,3,10,0.87,0
paid_ads,healthcare,employed,north_america,61934,3,6,0.64,0
referral,technology,employed,asia,74350,3,4,0.63,1
social_media,,employed,europe,79824,2,1,0.37,0
organic_search,,student,asia,18155,1,5,0.54,0
paid_ads,,employed,north_america,44308,2,3,0.26,1
social_media,technology,student,europe,27932,2,1,0.35,0
social_media,retail,self_employed,,26237,1,5,0.46,0
social_media,retail,self_employed,europe,42161,2,5,0.54,1
organic_search,manufacturing,employed,africa,35989,4,9,0.74,1
events,education,employed,europe,48742,1,3,0.33,0
organic_search,finance,unemployed,europe,54675,0,2,0.36,0
referral,technology,employed,asia,87585,3,7,0.74,1
referral,technology,employed,asia,87438,4,7,0.75,1
paid_ads,retail,unemployed,north_america,20275,2,8,0.65,0
social_media,,self_employed,asia,50823,2,6,0.62,1
paid_ads,technology,unemployed,asia,,0,0,0.06,0
events,finance,employed,europe,68821,4,8,0.77,1
events,retail,student,north_america,20791,3,4,0.49,0
organic_search,,unemployed,south_america,12000,1,2,0.32,1
paid_ads,technology,employed,north_america,87570,3,7,0.71,1
organic_search,,employed,south_america,27052,1,1,0.23,0
social_media,technology,employed,north_america,83807,2,3,0.37,1
referral,technology,employed,europe,79373,3,8,0.88,1
events,healthcare,student,asia,23307,4,6,0.56,0
social_media,healthcare,employed,asia,69424,4,7,0.66,1
social_media,finance,employed,asia,77301,0,1,0.15,0
paid_ads,healthcare,unemployed,europe,24938,1,3,0.33,1
social_media,healthcare,employed,asia,70284,2,4,0.55,0
paid_ads,education,employed,south_america,34217,2,2,0.31,0
social_media,technology,self_employed,europe,53290,2,8,0.65,1
paid_ads,finance,student,europe,52819,2,2,0.3,0
organic_search,technology,self_employed,africa,65743,3,3,0.46,0
organic_search,technology,self_employed,africa,65212,4,10,0.93,1
paid_ads,technology,employed,north_america,74592,2,3,0.39,1
organic_search,technology,student,asia,50785,3,5,0.44,0
paid_ads,technology,unemployed,asia,,1,0,0.09,0
social_media,healthcare,employed,north_america,65668,4,8,0.76,1
events,retail,student,europe,16710,3,6,0.48,1
events,healthcare,employed,asia,51901,2,4,0.36,0
organic_search,retail,employed,europe,59302,1,4,0.52,0
organic_search,technology,self_employed,europe,72423,0,1,0.26,0
organic_search,retail,employed,europe,31054,3,7,0.65,1
paid_ads,retail,employed,europe,41217,2,5,0.48,0
referral,healthcare,unemployed,asia,,0,2,0.24,0
referral,manufacturing,employed,north_america,66349,3,6,0.61,1
organic_search,retail,employed,north_america,63466,2,3,0.47,1
organic_search,retail,employed,africa,34187,2,6,0.49,0
social_media,retail,employed,asia,43382,3,7,0.62,1
organic_search,healthcare,self_employed,europe,77897,1,0,0.28,0
referral,healthcare,unemployed,south_america,,4,7,0.77,1
paid_ads,retail,self_employed,asia,51008,1,3,0.3,0
organic_search,healthcare,employed,europe,75059,2,3,0.38,0
events,,,south_america,74818,3,4,0.59,1
paid_ads,education,unemployed,asia,18733,1,5,0.47,0
paid_ads,retail,employed,asia,25824,1,4,0.41,0
social_media,education,employed,asia,58486,0,3,0.35,0
paid_ads,healthcare,self_employed,north_america,59063,2,3,0.38,0
social_media,technology,self_employed,europe,80400,2,4,0.48,1
social_media,retail,employed,asia,44428,2,4,0.51,1
referral,manufacturing,unemployed,,16426,2,3,0.39,0
organic_search,manufacturing,employed,south_america,59686,0,2,0.24,0
referral,healthcare,unemployed,north_america,49199,3,7,0.7,1
referral,education,employed,asia,44816,2,6,0.67,1
,education,employed,africa,42372,3,8,0.65,1
social_media,retail,self_employed,south_america,12903,1,4,0.41,1
,healthcare,unemployed,asia,23598,1,5,0.33,0
social_media,retail,employed,asia,45022,2,4,0.56,0
paid_ads,education,student,south_america,,3,7,0.6,0
,technology,,europe,71429,2,3,0.35,0
paid_ads,healthcare,employed,north_america,71372,3,5,0.64,0
,technology,student,north_america,62056,1,3,0.37,0
organic_search,technology,,asia,83555,2,5,0.61,1
paid_ads,finance,employed,north_america,84573,2,3,0.37,1
social_media,manufacturing,employed,,57804,1,4,0.33,0
events,education,student,europe,12000,1,0,0.22,0
paid_ads,healthcare,unemployed,europe,23058,2,7,0.53,1
organic_search,healthcare,self_employed,north_america,57250,4,6,0.67,1
social_media,education,employed,north_america,67617,3,5,0.59,0
paid_ads,retail,self_employed,north_america,56828,1,3,0.43,1
organic_search,technology,unemployed,asia,39083,3,5,0.54,1
organic_search,finance,employed,europe,72219,3,5,0.68,0
paid_ads,technology,employed,south_america,81692,2,4,0.43,1
social_media,healthcare,employed,asia,57764,3,4,0.45,1
,technology,unemployed,south_america,48218,4,7,0.77,0
paid_ads,finance,student,europe,41083,3,3,0.34,0
,technology,self_employed,europe,80782,1,4,0.43,1
paid_ads,manufacturing,student,asia,23595,4,7,0.72,0
events,healthcare,employed,asia,53971,1,6,0.53,0
social_media,retail,unemployed,europe,15865,1,2,0.28,1
social_media,healthcare,self_employed,north_america,65701,0,2,0.29,0
referral,retail,employed,south_america,32626,3,9,0.79,1
organic_search,education,student,south_america,,2,5,0.36,1
organic_search,retail,self_employed,,44476,1,1,0.39,1
referral,retail,unemployed,north_america,16044,0,5,0.51,1
social_media,technology,employed,north_america,81588,2,3,0.4,1
social_media,retail,,,53041,2,4,0.47,1
social_media,retail,self_employed,europe,34057,1,0,0.05,0
paid_ads,technology,employed,europe,89380,3,4,0.57,1
events,education,self_employed,south_america,25829,0,0,0.01,0
social_media,technology,unemployed,north_america,57609,2,6,0.63,1
referral,healthcare,employed,africa,64401,3,7,0.74,1
paid_ads,healthcare,unemployed,europe,,0,0,0.16,0
referral,healthcare,self_employed,europe,65442,2,5,0.63,1
,technology,employed,asia,79849,3,6,0.62,1
referral,healthcare,employed,europe,75328,2,5,0.69,1
paid_ads,retail,employed,north_america,50041,2,6,0.52,0
organic_search,technology,employed,europe,97156,2,4,0.51,1
organic_search,healthcare,employed,europe,75986,4,6,0.74,0
referral,,employed,asia,40220,2,5,0.55,1
organic_search,retail,employed,europe,49764,3,4,0.58,1
paid_ads,finance,employed,north_america,79816,1,1,0.3,0
paid_ads,healthcare,self_employed,north_america,58208,0,1,0.17,0
organic_search,healthcare,employed,,61859,2,10,0.75,1
social_media,finance,employed,europe,82250,2,6,0.56,1
events,,employed,europe,77329,2,4,,0
organic_search,technology,employed,europe,77954,0,2,0.24,0
social_media,education,employed,europe,51121,2,5,0.42,1
referral,healthcare,employed,north_america,69158,2,4,0.57,1
paid_ads,education,employed,south_america,26962,1,2,0.28,0
referral,retail,student,europe,18889,2,2,0.37,0
referral,healthcare,self_employed,europe,54389,4,8,0.83,1
social_media,manufacturing,unemployed,north_america,36373,2,4,0.51,1
paid_ads,retail,student,asia,12000,1,6,0.53,1
paid_ads,technology,student,asia,46969,2,6,0.55,1
organic_search,technology,student,south_america,,1,3,0.37,0
paid_ads,retail,student,north_america,,2,5,0.42,1
events,healthcare,employed,north_america,72302,1,2,0.2,0
organic_search,technology,employed,south_america,82690,4,4,0.53,0
events,technology,employed,north_america,89261,3,4,0.49,1
referral,education,employed,asia,46754,3,5,0.57,1
events,education,unemployed,north_america,24369,2,3,0.38,1
events,retail,unemployed,africa,12000,0,0,0.04,0
social_media,education,employed,europe,38998,2,3,0.35,0
organic_search,retail,employed,north_america,51844,4,7,0.8,1
referral,technology,employed,europe,98572,2,7,0.73,1
referral,finance,student,africa,,0,2,0.34,0
paid_ads,technology,self_employed,north_america,77952,2,5,0.61,1
,retail,,south_america,52651,1,3,0.39,0
events,manufacturing,student,south_america,17801,1,3,0.31,1
referral,education,employed,europe,43260,0,3,0.33,0
paid_ads,technology,employed,south_america,60456,2,3,0.43,1
social_media,technology,unemployed,europe,57170,2,3,0.42,1
events,healthcare,unemployed,africa,18662,0,0,0.01,1
social_media,manufacturing,self_employed,south_america,42507,4,7,0.72,1
referral,technology,employed,asia,83548,4,7,0.7,1
social_media,manufacturing,employed,africa,44409,2,0,0.21,0
referral,finance,unemployed,asia,,1,3,0.51,1
events,education,self_employed,asia,32952,2,4,,0
organic_search,retail,student,,,2,5,0.61,1
organic_search,healthcare,employed,europe,66026,1,2,0.32,0
events,retail,,europe,51461,2,7,0.63,0
referral,healthcare,employed,north_america,65364,2,3,0.42,0
organic_search,technology,self_employed,south_america,72135,1,1,0.3,0
paid_ads,finance,self_employed,north_america,87802,2,2,0.34,1
paid_ads,technology,employed,south_america,73263,0,0,0.11,0
referral,finance,employed,europe,64679,3,7,0.76,1
social_media,technology,unemployed,europe,61861,1,3,0.45,1
events,finance,self_employed,europe,70827,3,5,0.56,0
social_media,technology,employed,north_america,84974,1,2,0.38,0
events,technology,employed,europe,91145,4,7,0.81,1
social_media,retail,employed,south_america,41706,3,4,0.49,0
events,retail,employed,europe,58284,2,2,0.36,0
referral,technology,student,south_america,34737,1,4,0.49,1
organic_search,manufacturing,self_employed,,67686,3,7,0.83,1
social_media,retail,employed,north_america,48606,3,5,0.59,0
paid_ads,education,unemployed,,12616,0,0,0.03,0
paid_ads,,employed,asia,35890,3,4,0.53,1
paid_ads,healthcare,self_employed,south_america,56052,2,5,0.47,0
events,,employed,asia,57681,0,2,0.27,0
events,finance,unemployed,asia,58176,1,2,0.31,0
referral,retail,self_employed,north_america,45539,2,7,0.65,1
organic_search,retail,,north_america,46466,3,7,0.69,0
referral,,employed,north_america,59999,4,10,0.98,1
social_media,retail,employed,north_america,51406,2,5,0.62,1
referral,technology,self_employed,asia,62139,3,7,0.71,1
events,technology,employed,europe,69283,1,4,0.45,0
organic_search,education,self_employed,europe,46342,5,9,0.85,1
organic_search,healthcare,self_employed,south_america,48559,3,5,0.47,1
paid_ads,retail,employed,asia,53414,2,7,0.57,0
paid_ads,manufacturing,self_employed,north_america,70985,1,2,0.29,0
events,finance,employed,europe,89139,1,3,0.33,1
social_media,finance,student,europe,45210,3,6,0.59,1
organic_search,education,employed,north_america,41348,2,4,0.43,0
social_media,technology,employed,europe,63098,1,3,0.37,0
social_media,healthcare,employed,africa,45051,2,4,0.47,1
social_media,,employed,asia,72285,2,1,0.29,0
organic_search,retail,student,south_america,28977,2,2,0.4,1
social_media,technology,employed,,80440,2,4,0.55,1
referral,healthcare,student,south_america,35968,2,5,0.59,0
organic_search,finance,employed,asia,65322,3,6,0.6,1
organic_search,finance,student,asia,26150,3,7,0.65,1
social_media,education,employed,asia,46513,1,1,0.2,0
social_media,finance,employed,south_america,70886,1,0,0.33,0
paid_ads,finance,student,north_america,54386,2,2,0.34,0
organic_search,retail,employed,north_america,53198,3,8,0.81,1
referral,retail,self_employed,north_america,48869,3,5,0.58,0
referral,finance,employed,asia,71434,5,12,0.99,1
social_media,technology,employed,south_america,86401,3,6,0.69,1
social_media,technology,student,asia,44902,4,7,0.71,1
social_media,retail,employed,south_america,54901,1,5,0.49,0
organic_search,retail,employed,north_america,58796,2,7,0.58,0
social_media,finance,employed,north_america,88408,2,5,0.55,0
social_media,healthcare,student,europe,,1,6,0.59,0
referral,manufacturing,employed,north_america,62432,2,6,0.65,1
referral,manufacturing,student,africa,,5,12,0.99,1
referral,finance,,africa,81229,3,7,0.7,1
referral,retail,unemployed,europe,12000,2,3,0.37,1
organic_search,manufacturing,self_employed,europe,52448,3,3,0.5,1
social_media,finance,unemployed,asia,44615,3,6,0.64,1
paid_ads,education,employed,europe,36543,2,4,0.39,0
social_media,healthcare,,asia,60809,0,4,0.46,1
organic_search,retail,employed,africa,31539,3,7,0.63,1
social_media,finance,employed,africa,67230,3,7,0.7,1
referral,finance,,north_america,70360,1,5,0.6,1
referral,education,employed,asia,41215,3,7,0.71,1
events,manufacturing,,north_america,64145,5,8,0.72,1
social_media,finance,employed,north_america,75980,3,5,0.58,0
paid_ads,manufacturing,employed,europe,43376,0,3,0.44,0
paid_ads,,student,asia,,1,1,0.25,0
referral,finance,unemployed,europe,48362,1,5,0.54,1
social_media,finance,employed,south_america,70591,1,1,0.29,0
organic_search,technology,self_employed,europe,69237,3,8,0.84,1
social_media,retail,student,north_america,21834,2,5,0.5,0
social_media,retail,employed,north_america,61552,4,6,0.61,1
referral,healthcare,student,asia,30255,3,6,0.7,1
events,technology,self_employed,asia,66234,2,3,0.49,0
referral,education,employed,north_america,47060,3,9,0.91,1
organic_search,manufacturing,employed,africa,43241,2,4,0.41,0
social_media,retail,employed,north_america,36504,1,2,0.32,0
organic_search,technology,employed,europe,102093,2,3,0.46,1
social_media,education,unemployed,asia,12000,0,1,0.09,0
social_media,retail,unemployed,north_america,12000,1,3,0.37,0
organic_search,education,student,africa,12000,3,3,0.32,0
social_media,retail,unemployed,north_america,13804,1,5,0.49,0
paid_ads,education,employed,north_america,47466,3,6,0.59,1
social_media,technology,unemployed,europe,,1,4,0.41,0
referral,manufacturing,student,,31356,4,7,0.79,1
organic_search,technology,self_employed,south_america,71757,2,3,0.46,1
events,technology,student,,37390,2,4,0.42,0
organic_search,technology,self_employed,asia,83485,3,8,0.82,0
paid_ads,healthcare,employed,africa,39278,2,5,0.44,1
social_media,education,employed,europe,37645,3,7,0.53,1
events,education,employed,south_america,30676,1,0,0.06,0
events,healthcare,employed,north_america,68292,2,2,0.23,1
referral,healthcare,student,europe,35293,2,4,0.47,1
social_media,healthcare,employed,south_america,66906,3,5,0.58,1
paid_ads,technology,student,north_america,68175,0,2,0.22,1
paid_ads,manufacturing,student,africa,12000,3,7,0.57,0
referral,technology,employed,north_america,81304,4,10,0.97,1
paid_ads,finance,unemployed,asia,,0,1,0.21,1
social_media,healthcare,student,north_america,,2,4,0.44,1
organic_search,technology,unemployed,south_america,57654,0,4,0.43,0
paid_ads,finance,employed,north_america,86856,2,4,0.62,1
social_media,healthcare,employed,africa,54869,3,7,0.7,1
paid_ads,retail,employed,south_america,37406,1,0,0.06,0
organic_search,technology,student,asia,31881,2,6,0.57,1
paid_ads,technology,employed,south_america,85328,1,0,0.15,0
referral,retail,student,europe,,2,6,0.63,0
organic_search,healthcare,,north_america,59195,3,4,0.5,1
referral,retail,student,asia,12000,1,5,0.54,1
paid_ads,manufacturing,employed,asia,61218,1,2,0.33,1
organic_search,manufacturing,unemployed,north_america,18711,3,6,0.6,0
social_media,healthcare,employed,europe,72374,1,3,0.35,1
referral,technology,employed,asia,83498,2,7,0.78,1
paid_ads,healthcare,employed,europe,62787,2,3,0.37,0
organic_search,finance,unemployed,south_america,49356,2,5,0.53,1
referral,education,employed,africa,42768,5,9,0.91,1
paid_ads,,employed,north_america,79186,3,5,0.5,1
paid_ads,manufacturing,employed,asia,48655,3,6,0.62,1
social_media,healthcare,employed,north_america,74041,3,3,0.52,1
organic_search,,unemployed,asia,28711,3,4,0.46,1
events,education,employed,north_america,36953,3,8,0.76,1
organic_search,retail,employed,europe,42503,2,4,0.52,1
paid_ads,education,employed,,48367,1,2,0.23,0
paid_ads,,student,south_america,12000,2,5,0.5,0
social_media,education,employed,south_america,26797,1,4,0.37,0
organic_search,retail,self_employed,north_america,48193,2,6,0.6,1
paid_ads,,employed,north_america,88807,2,5,0.51,1
referral,education,employed,europe,31392,3,4,0.52,0
social_media,technology,self_employed,europe,71364,4,7,0.65,1
organic_search,technology,,europe,75827,0,1,0.25,0
events,healthcare,unemployed,south_america,29089,0,0,0.01,0
social_media,technology,employed,africa,81178,0,0,0.29,0
social_media,healthcare,student,asia,28880,2,7,0.62,0
social_media,technology,self_employed,europe,59919,2,5,0.55,0
social_media,finance,student,north_america,,1,1,0.23,0
paid_ads,healthcare,unemployed,europe,39495,2,4,0.44,1
organic_search,education,employed,north_america,50911,4,8,0.7,1
paid_ads,finance,employed,north_america,74475,1,5,0.54,1
organic_search,education,employed,north_america,49132,2,3,0.43,1
events,healthcare,unemployed,south_america,,0,2,0.21,0
referral,technology,unemployed,asia,42183,1,5,0.47,0
events,technology,unemployed,asia,31108,0,2,0.23,0
organic_search,manufacturing,employed,africa,51450,1,4,0.48,1
organic_search,finance,employed,north_america,87138,0,3,0.39,1
referral,healthcare,student,asia,12000,2,6,0.63,1
paid_ads,technology,employed,asia,74288,4,7,0.72,1
events,healthcare,unemployed,africa,33303,2,3,0.33,0
referral,finance,employed,asia,63793,6,9,0.96,1
,manufacturing,unemployed,north_america,29799,3,10,0.86,1
organic_search,healthcare,student,south_america,12000,2,2,0.27,0
organic_search,healthcare,employed,north_america,60101,3,7,0.74,1
social_media,technology,employed,europe,81020,1,1,0.26,0
organic_search,manufacturing,student,north_america,16343,2,5,0.51,0
events,technology,employed,africa,76596,3,4,0.48,1
organic_search,retail,self_employed,south_america,33618,3,5,0.59,1
paid_ads,finance,unemployed,africa,,2,6,0.6,1
referral,education,employed,asia,36373,2,3,0.46,1
organic_search,,self_employed,europe,96883,2,4,0.48,0
referral,education,employed,asia,35156,2,9,0.71,1
social_media,finance,employed,asia,77335,1,0,0.28,0
paid_ads,retail,self_employed,north_america,48647,2,3,0.32,0
organic_search,technology,student,asia,40492,2,6,0.57,0
paid_ads,retail,student,europe,,1,1,0.17,0
paid_ads,retail,unemployed,south_america,20721,1,3,0.31,0
organic_search,finance,employed,north_america,78551,2,6,0.63,1
organic_search,technology,employed,europe,84957,1,3,0.48,1
referral,healthcare,employed,europe,56372,4,8,0.81,1
organic_search,technology,employed,south_america,63097,2,5,0.56,1
referral,technology,employed,europe,74243,4,11,0.94,1
events,healthcare,self_employed,north_america,66816,2,5,0.57,0
social_media,finance,unemployed,europe,,1,2,0.35,0
referral,technology,student,africa,34971,5,7,0.79,1
referral,retail,employed,north_america,38421,5,10,0.96,1
organic_search,healthcare,employed,asia,65545,4,8,0.77,0
referral,education,employed,asia,44694,1,6,0.72,1
paid_ads,technology,employed,africa,80385,0,3,0.36,0
organic_search,technology,employed,north_america,88718,3,4,0.65,0
organic_search,finance,employed,europe,81207,3,10,0.89,1
paid_ads,technology,student,north_america,,3,7,0.68,1
social_media,technology,unemployed,asia,51566,2,2,0.28,0
referral,finance,unemployed,asia,,0,3,0.37,0
organic_search,healthcare,unemployed,north_america,40892,0,4,0.45,1
