"Status","Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price"
1,3,0,24,42,1,1,1,35,337,99999999,99999999,1300,1624
2,13,1,24,49,2,1,3,90,0,0,0,700,800
2,10,1,60,43,2,1,3,90,0,0,0,1350,1668
1,20,2,36,42,2,1,3,90,250,4500,0,1500,1750
1,10,2,48,28,2,2,2,60,120,2500,1500,600,875
1,1,2,60,30,2,1,3,35,236,3500,1000,1000,1514
2,1,2,60,25,4,2,2,45,277,6000,3500,1700,1950
2,0,5,60,22,1,1,2,35,55,0,0,950,1462
1,5,5,36,27,1,1,1,35,200,4000,0,600,1098
1,3,5,60,26,1,1,1,45,235,0,0,800,840
2,0,2,48,28,2,1,1,45,80,1500,0,1260,1634
1,6,2,48,35,2,1,3,45,200,7000,0,1540,1603
1,21,3,60,51,2,1,1,45,140,3000,0,1200,1200
1,5,1,60,24,2,1,1,73,125,0,0,700,1360
1,12,1,60,34,2,1,1,94,185,0,0,1200,1236
1,13,2,42,34,2,1,1,105,190,2500,300,1100,1395
1,10,2,60,49,2,1,3,60,150,23000,0,1200,1390
1,6,2,60,28,2,1,1,60,102,5000,0,700,1355
1,18,1,60,57,2,1,1,77,170,4000,0,1300,1604
1,15,2,60,63,2,1,1,60,315,3500,266,1000,1241
2,0,1,12,37,2,1,4,88,130,0,0,250,375
1,2,2,36,27,2,1,1,45,156,6000,0,700,1045
1,18,1,60,39,2,1,1,93,177,0,0,800,1781
1,12,2,36,64,1,2,3,60,341,4500,0,900,900
1,25,2,48,49,2,1,3,105,240,12000,4200,1660,1698
1,8,2,12,49,2,1,3,60,142,6000,0,200,1048
1,20,2,36,45,2,1,3,75,333,5000,0,1000,2200
1,3,5,60,27,1,1,1,35,125,5000,0,770,1119
1,2,5,36,30,2,1,1,45,170,0,0,700,1090
2,2,2,36,33,2,1,3,75,220,16000,500,3000,4100
1,15,2,36,40,2,1,1,60,230,8500,480,700,1400
1,3,2,60,30,4,1,1,60,157,15000,0,1000,2010
1,4,5,12,30,2,1,1,60,340,16000,0,1900,2014
1,3,2,60,25,2,1,2,60,120,3500,200,1000,1342
1,9,1,60,40,1,1,1,44,91,0,0,1000,1132
2,4,3,42,50,2,1,3,60,150,7000,0,900,1048
1,2,2,36,23,1,1,1,35,88,5500,0,750,1218
1,1,6,48,28,1,1,2,35,120,0,0,900,1114
2,2,1,60,35,2,2,3,75,0,0,0,1000,1206
1,2,1,60,27,2,1,1,56,106,0,0,650,2132
1,2,5,36,19,2,1,1,35,162,4000,100,400,570
1,3,5,60,39,2,1,1,45,77,0,0,1000,1094
1,8,3,36,39,2,1,1,75,128,2500,0,550,550
1,10,2,48,55,3,1,1,35,189,9000,0,1200,1255
1,10,2,36,32,2,1,3,60,300,40000,3000,2000,4138
1,5,2,60,54,2,1,3,60,92,6000,1700,1700,1714
1,20,2,48,58,2,1,3,60,380,35000,0,1100,1150
1,5,2,24,37,2,1,3,75,500,14000,0,1500,2673
1,20,5,60,36,2,1,3,60,130,0,0,1200,1630
1,12,2,60,28,2,1,1,45,141,6000,400,1100,1544
1,13,2,60,38,2,1,1,75,220,6500,3600,1000,1195
1,11,2,36,26,2,1,1,60,146,5000,1300,400,1206
1,17,2,60,41,2,1,3,75,250,13500,3700,1400,2050
1,6,2,36,42,2,1,1,60,132,6000,0,1200,1513
1,22,2,6,46,2,1,3,90,150,75000,0,3000,3300
1,25,1,60,52,2,1,1,73,127,0,0,1030,1250
2,8,2,60,30,2,1,2,60,90,3000,500,1000,1339
2,19,2,60,47,2,2,3,90,166,12500,1000,875,875
1,3,2,18,66,2,1,4,45,69,12000,0,500,1101
1,35,2,60,54,2,1,1,45,182,4000,0,1000,1568
1,0,2,42,65,2,1,4,45,77,4000,2000,750,1194
2,7,6,60,25,2,1,1,45,50,0,0,950,1378
1,3,2,60,31,1,1,1,35,131,4000,0,1050,1139
1,1,5,24,23,1,1,1,35,62,0,0,350,350
2,5,2,60,35,2,1,1,75,60,3000,400,1150,1406
1,2,2,60,47,2,1,1,90,86,4500,0,1200,1497
2,13,1,36,28,2,1,1,59,143,0,0,1400,1600
2,27,1,60,50,2,2,1,87,120,0,0,1300,1350
2,3,6,60,25,1,1,1,35,283,0,0,2000,2032
1,0,2,36,39,2,1,1,60,138,3000,0,1400,2610
1,1,3,12,46,2,1,4,90,90,2000,600,500,1193
2,1,1,60,36,2,2,1,85,99,0,0,1200,1275
2,10,2,36,39,2,2,3,75,160,15000,0,3250,3750
1,1,2,60,25,2,1,2,60,330,9000,3500,1300,2500
1,6,2,36,49,2,1,3,60,100,22000,0,1000,1790
2,3,1,48,52,2,1,1,96,210,0,0,1400,1419
1,10,1,30,34,4,1,1,45,100,0,0,700,1480
1,0,2,36,24,1,1,2,45,97,8000,0,600,1542
2,1,1,60,38,2,1,3,45,0,0,0,1500,1850
1,6,2,48,24,2,1,1,45,227,3000,0,600,1380
1,5,2,42,33,2,2,1,45,140,22000,2500,1200,1888
2,1,1,48,31,2,1,1,87,115,0,0,1100,1672
1,37,2,48,63,2,1,1,60,150,3500,0,700,808
2,1,5,60,23,1,1,1,35,90,0,0,1100,1107
1,40,2,42,61,2,1,1,90,275,12000,0,1000,1335
1,5,5,60,28,1,1,1,35,176,0,0,1190,1390
1,11,1,60,58,2,1,1,71,110,3000,0,1150,1363
1,23,2,60,41,2,1,1,75,140,3000,0,1450,1482
1,23,2,60,38,2,1,1,45,500,3500,0,1900,2357
2,5,2,60,27,2,1,1,75,66,3000,0,600,850
1,10,2,60,55,2,1,3,60,0,10000,0,1000,1180
1,5,2,48,40,2,1,3,75,145,6000,0,825,1617
1,31,2,60,59,2,1,1,60,67,6500,0,1080,1114
2,4,2,60,47,2,1,3,75,0,13500,0,1900,1976
2,10,2,60,38,2,2,1,90,80,3000,1749,1030,1095
1,0,5,60,25,1,1,3,35,0,0,0,800,1380
1,8,6,60,28,2,1,1,45,200,0,0,700,1529
1,2,2,36,49,2,2,3,75,154,14000,0,850,1263
1,3,3,48,38,2,1,3,90,187,2500,750,1550,1600
2,35,2,48,52,2,1,1,60,135,5000,0,1200,1400
1,3,2,48,37,3,1,1,45,160,6000,3000,1000,1520
1,25,2,60,42,2,1,1,60,133,9500,0,1500,1617
1,8,1,60,54,2,1,3,173,230,5000,0,1100,1500
1,2,2,60,30,2,1,1,60,154,3000,0,1000,1705
1,2,2,30,26,2,1,1,60,50,3500,250,600,1292
1,17,2,48,49,2,1,3,60,189,7000,0,1100,1294
1,3,2,60,36,2,1,1,60,202,4600,1260,1400,1936
2,4,5,48,40,2,1,3,90,20,0,0,1850,2143
2,0,2,12,61,2,1,4,60,40,4000,0,170,1394
2,2,1,24,59,2,1,1,110,50,0,0,200,425
1,2,2,48,49,2,1,1,45,125,4000,0,500,1600
1,30,1,60,52,2,1,3,70,100,14500,0,1250,1563
1,11,2,60,35,2,1,1,60,115,4000,75,1250,1284
2,5,4,60,25,2,1,1,75,160,1000,0,890,990
1,14,2,60,30,2,1,1,60,70,4000,2800,600,1125
1,8,2,48,28,2,1,1,35,220,4000,0,1000,1267
2,1,6,60,42,2,2,3,45,0,0,0,1600,1780
1,1,2,6,29,1,1,3,35,107,2000,0,300,1298
2,6,2,60,32,2,1,1,75,160,2200,600,1550,1600
1,9,2,60,45,2,1,1,75,150,3000,0,1100,1340
1,0,2,60,52,2,1,2,45,0,10000,0,750,1244
2,3,2,60,26,2,1,2,45,120,6100,1500,1000,1403
1,3,2,60,33,2,2,3,75,225,2000,0,1400,1980
1,1,5,60,21,1,1,3,35,100,0,0,900,1290
2,0,2,36,34,2,1,2,75,80,4500,300,600,1339
1,6,2,60,27,1,1,1,35,208,6000,3300,1500,1559
2,21,2,60,44,2,1,1,90,105,1150,720,200,1078
1,17,2,60,51,2,1,1,60,98,4000,0,860,1113
1,7,1,18,33,2,1,1,113,532,0,0,1000,2290
1,10,2,60,35,2,1,1,60,140,4000,0,1000,1578
1,2,2,48,38,2,1,1,75,90,7000,2000,500,1039
1,0,1,60,28,2,1,1,76,155,0,0,800,1218
1,2,2,60,26,2,1,1,45,120,3500,0,300,1329
1,10,2,36,34,2,1,1,90,159,3000,250,300,500
1,6,2,60,27,2,1,1,45,122,2000,1000,1300,1384
2,7,2,60,32,2,1,2,75,156,3500,0,1300,1553
1,18,2,48,43,1,1,1,35,90,2500,0,1000,1626
1,3,2,18,30,1,1,2,35,130,5000,0,1100,1674
1,6,2,18,42,2,1,3,90,45,4000,34,200,1500
1,0,1,36,26,2,1,2,72,118,1000,0,600,1421
2,0,2,24,20,1,1,4,60,152,2000,0,400,480
1,8,1,48,24,1,1,1,49,135,0,0,1000,1274
1,4,1,48,27,2,1,1,58,125,0,0,1200,1580
1,1,1,36,35,2,1,3,66,208,4000,0,1000,1300
2,1,5,48,18,1,1,2,35,81,0,0,1150,1314
1,3,2,24,35,2,1,1,75,160,1800,0,200,957
1,10,1,60,33,2,1,3,75,300,2700,0,1000,1500
1,8,3,36,39,2,1,1,60,135,4000,1500,1300,1504
1,20,5,60,36,2,1,1,60,121,0,0,850,935
1,3,5,48,29,1,1,1,35,145,0,0,1000,1028
2,1,5,48,23,1,1,1,35,165,0,0,1300,1440
1,19,2,12,34,2,1,3,75,428,32000,0,500,1030
1,2,1,48,57,2,1,4,68,233,0,0,1200,1366
2,11,2,60,38,2,2,1,90,245,4000,0,1700,1768
2,1,2,36,52,2,2,3,60,99999999,100000,20000,1500,2340
2,1,2,48,42,2,2,3,75,200,9000,4500,1400,1700
1,15,2,60,44,2,1,3,60,42,10000,0,910,1450
1,10,2,48,37,5,1,1,35,87,3500,450,500,1155
2,1,3,48,34,2,2,3,45,200,3000,1500,1000,1191
1,25,2,12,43,2,1,3,75,250,100000,0,600,841
2,4,1,60,42,5,2,1,70,350,0,0,2200,2441
2,0,6,48,24,2,1,1,60,105,0,0,1200,1516
1,1,2,60,36,1,1,3,60,100,4500,1500,400,1591
2,2,5,60,52,2,2,3,75,160,5000,0,1350,1999
1,16,5,60,34,1,1,3,35,0,12000,0,1200,1336
2,0,1,36,34,4,1,1,49,140,0,0,1150,1600
1,16,5,60,31,2,1,1,45,160,0,0,1400,1850
1,8,2,60,36,2,1,3,75,148,2600,0,1400,1775
1,20,5,36,50,2,1,3,45,113,20000,0,700,1224
1,5,5,60,33,2,1,1,45,97,0,0,1500,1663
1,20,2,60,54,2,1,1,60,107,1500,0,1250,1500
2,5,1,60,40,2,2,1,66,206,0,0,1900,2225
1,1,2,60,29,2,1,1,45,275,6000,1810,1600,1930
1,3,2,60,31,2,1,1,45,176,4500,2500,1400,1607
1,2,1,36,32,2,1,1,63,175,0,0,1000,1230
1,3,2,24,51,2,1,1,45,223,20000,0,1400,1581
1,7,1,60,31,2,1,1,67,70,0,0,790,1072
2,9,1,36,46,2,1,1,84,87,0,0,1200,1471
2,1,2,60,35,2,1,3,90,42,5000,100,500,1300
1,14,5,60,33,1,1,1,35,60,0,0,1150,1192
1,6,6,48,25,1,1,1,35,300,0,0,2400,2700
1,0,6,36,31,2,1,1,75,144,0,0,450,500
2,15,1,36,43,2,1,3,75,0,15000,2000,1100,1720
1,2,5,48,30,2,1,1,60,180,0,0,1350,1770
2,1,1,48,40,2,1,4,82,69,0,0,1100,1197
1,12,1,60,37,2,2,1,86,110,0,0,700,950
2,1,5,36,22,1,2,2,35,50,0,0,425,450
2,0,5,60,24,1,2,2,35,86,0,0,1400,1707
1,11,2,36,27,2,1,1,60,172,7000,0,900,1201
2,9,1,60,32,2,2,3,71,109,0,0,1135,1355
1,13,2,60,43,2,1,1,60,95,3000,0,890,1196
1,29,1,60,57,2,1,1,80,203,0,0,1100,1297
2,33,2,48,59,2,2,1,45,114,10000,0,1200,1420
1,3,1,48,60,3,1,3,54,186,0,0,850,1036
1,0,1,60,25,1,1,1,51,155,0,0,800,1201
1,5,5,60,28,2,1,1,60,195,1800,0,1000,1527
2,3,2,60,40,2,1,3,75,246,2500,0,1300,1500
1,21,1,48,36,2,1,1,86,113,0,0,950,1057
1,6,2,48,27,2,1,3,60,290,4300,900,1500,2127
2,1,6,48,33,2,2,3,75,0,0,0,1000,2218
1,25,2,60,44,2,1,1,45,125,2500,0,1200,1570
1,5,1,24,34,2,1,3,95,199,0,0,250,650
1,1,2,60,28,2,1,1,45,133,5000,9000,700,1175
1,1,2,60,39,2,1,1,60,210,2000,0,700,825
2,2,6,48,47,1,2,3,35,0,0,0,2150,2152
1,11,2,60,28,2,1,1,45,78,4000,0,850,978
1,1,1,36,37,5,1,2,55,200,15000,0,1100,1650
1,0,5,60,20,2,1,3,45,100,0,0,1850,2150
2,2,1,48,36,2,1,1,85,95,0,0,1340,1771
1,5,1,48,28,2,1,1,63,183,0,0,1100,1615
1,2,5,24,20,1,1,1,35,43,0,0,450,994
1,7,3,60,32,2,1,1,75,120,3000,3000,870,1147
2,3,5,60,19,1,1,3,45,198,2500,0,1100,1194
2,2,1,36,21,1,1,1,45,100,0,0,700,825
1,3,1,36,23,1,1,1,50,150,0,0,1000,1128
1,10,2,36,47,2,1,1,60,133,3000,0,360,360
1,10,2,48,37,3,1,4,45,110,3000,0,500,1190
1,10,2,60,51,2,1,1,60,202,2000,0,1400,1580
1,1,3,24,31,2,1,1,60,140,2000,500,1100,1600
1,4,2,60,49,2,1,1,45,123,5000,0,1450,1735
